"database_id","cohort_id","concept_set_id","concept_id","source_concept_id","concept_subjects","concept_count"
"database_schema",2379,0,800881,729421,-5,6
"database_schema",2379,0,800881,1225161,6,32
"database_schema",2379,0,800881,35518204,13,37
"database_schema",2379,0,800881,36197219,6,14
"database_schema",2379,0,800881,36380456,24,60
"database_schema",2379,0,800881,36391494,-5,5
"database_schema",2379,0,800881,43547658,-5,6
"database_schema",2379,0,800881,44408422,341,2940
"database_schema",2379,0,800881,44420693,148,956
"database_schema",2379,0,800881,44426865,781,6910
"database_schema",2379,0,800881,44432195,-5,-5
"database_schema",2379,0,800881,44433013,459,4216
"database_schema",2379,0,800881,44436705,94,235
"database_schema",2379,0,800881,44446231,62,363
"database_schema",2379,0,800881,44451420,493,3732
"database_schema",2379,0,800881,44899214,13,55
"database_schema",2379,0,800881,44976450,706,4832
"database_schema",2379,0,800881,45043369,70,320
"database_schema",2379,0,800881,45145317,9,16
"database_schema",2379,0,800881,45146712,1100,10330
"database_schema",2379,0,800881,45179468,1110,8910
"database_schema",2379,0,800881,45191248,201,1267
"database_schema",2379,0,800881,45196549,1181,10732
"database_schema",2379,0,800881,45282072,35,225
"database_schema",2379,0,800881,45294132,428,2844
"database_schema",2379,0,800881,45325242,25,102
"database_schema",2379,0,800892,729422,-5,7
"database_schema",2379,0,800892,1225163,-5,23
"database_schema",2379,0,800892,2720963,13,22
"database_schema",2379,0,800892,35518203,8,40
"database_schema",2379,0,800892,36197221,-5,5
"database_schema",2379,0,800892,36380458,-5,6
"database_schema",2379,0,800892,36391496,-5,5
"database_schema",2379,0,800892,44412409,72,501
"database_schema",2379,0,800892,44422160,205,1582
"database_schema",2379,0,800892,44422660,-5,-5
"database_schema",2379,0,800892,44422786,464,3550
"database_schema",2379,0,800892,44423469,135,1287
"database_schema",2379,0,800892,44427118,17,45
"database_schema",2379,0,800892,44429489,-5,-5
"database_schema",2379,0,800892,44446230,10,40
"database_schema",2379,0,800892,44855815,11,74
"database_schema",2379,0,800892,44969741,166,886
"database_schema",2379,0,800892,45043332,46,173
"database_schema",2379,0,800892,45137217,19,64
"database_schema",2379,0,800892,45163936,705,5725
"database_schema",2379,0,800892,45171457,7,37
"database_schema",2379,0,800892,45231026,321,2509
"database_schema",2379,0,800892,45231027,-5,-5
"database_schema",2379,0,800892,45247980,636,4487
"database_schema",2379,0,800921,1225164,7,25
"database_schema",2379,0,800921,36391497,7,15
"database_schema",2379,0,800921,36478660,7,53
"database_schema",2379,0,800921,36481058,19,67
"database_schema",2379,0,800921,44432329,510,4258
"database_schema",2379,0,800921,44969738,125,604
"database_schema",2379,0,800921,45043334,127,835
"database_schema",2379,0,800921,45196518,-5,5
"database_schema",2379,0,800921,45247982,463,3267
"database_schema",2379,0,800921,45266627,303,2263
"database_schema",2379,0,800921,45367338,16,69
"database_schema",2379,0,800933,44408884,62,607
"database_schema",2379,0,800933,44436628,-5,22
"database_schema",2379,0,800933,44440365,42,331
"database_schema",2379,0,800933,44451191,21,78
"database_schema",2379,0,800933,44941326,11,80
"database_schema",2379,0,800933,45196511,82,500
"database_schema",2379,0,800934,44408973,16,78
"database_schema",2379,0,800934,44417093,-5,-5
"database_schema",2379,0,800934,44417463,-5,-5
"database_schema",2379,0,800934,44432104,18,247
"database_schema",2379,0,800934,44449864,40,413
"database_schema",2379,0,800934,45077499,42,225
"database_schema",2379,0,800934,45162387,14,106
"database_schema",2379,0,800935,44896111,-5,30
"database_schema",2379,0,800935,45288143,23,159
"database_schema",2379,0,800937,42844428,-5,8
"database_schema",2379,0,800937,44855980,7,37
"database_schema",2379,0,19004670,44445460,10,141
"database_schema",2379,0,19004670,45077363,-5,12
"database_schema",2379,0,19004691,44416833,36,599
"database_schema",2379,0,19004691,44991785,6,15
"database_schema",2379,0,19075608,1225162,16,108
"database_schema",2379,0,19075608,36197220,-5,-5
"database_schema",2379,0,19075608,36391495,44,229
"database_schema",2379,0,19075608,36477381,54,213
"database_schema",2379,0,19075608,36478325,30,231
"database_schema",2379,0,19075608,42825606,123,720
"database_schema",2379,0,19075608,43547661,-5,7
"database_schema",2379,0,19075608,44410469,434,4447
"database_schema",2379,0,19075608,44907438,420,3368
"database_schema",2379,0,19075608,44942712,514,4676
"database_schema",2379,0,19075608,45069390,14,39
"database_schema",2379,0,19075608,45231028,299,2904
"database_schema",2379,0,19075608,45316359,24,104
"database_schema",2379,0,19114105,45356300,10,64
"database_schema",2379,0,40223450,36094864,-5,-5
"database_schema",2379,0,40223450,37620366,17,131
"database_schema",2379,0,40223450,37620367,-5,13
"database_schema",2379,0,40223450,46251766,13,67
"database_schema",2379,0,40223450,46252704,43,459
"database_schema",2379,0,40223451,45168433,13,45
"database_schema",2379,0,40223451,45253938,-5,10
"database_schema",2379,0,40224293,37620364,15,154
"database_schema",2379,0,40224293,37620365,-5,11
"database_schema",2379,0,40224293,46251294,36,362
"database_schema",2379,0,40224293,46255420,9,34
"database_schema",2379,0,40224294,45100236,-5,38
"database_schema",2379,0,43013567,36178064,-5,18
"database_schema",2379,4,434697,1571934,-5,-5
"database_schema",2379,4,1314464,1314464,32,44
"database_schema",2379,4,4005823,35225271,609375,1390977
"database_schema",2379,4,4038739,45568046,491,1428
"database_schema",2379,4,4218741,45552453,856,1427
"database_schema",2379,4,4218741,45566810,211,619
"database_schema",2379,4,4218741,45571742,750,1297
"database_schema",2379,4,4218741,45586220,44150,94473
"database_schema",2379,4,4218741,45591117,-5,-5
"database_schema",2379,4,4218741,45605476,825,1266
"database_schema",2379,4,4276526,1568179,294,436
"database_schema",2379,4,4276526,45542821,14942,34130
"database_schema",2379,4,4276526,45562025,985092,3164892
"database_schema",2379,4,4276526,45576521,25646,52904
"database_schema",2379,4,4276526,45591116,4612,11259
"database_schema",2379,4,4276526,45595885,14690,30190
"database_schema",2379,4,4298794,915747,163,209
"database_schema",2379,4,42534813,45534323,4935,9461
"database_schema",2379,4,42534813,45568007,4716,8096
"database_schema",2379,4,42534813,45577675,1612,2265
"database_schema",2379,4,42534813,45606676,7097,11333
"database_schema",2379,4,42534813,45606677,560,918
"database_schema",2379,4,45757177,45534324,8493,9930
"database_schema",2379,5,712649,44425985,97,114
"database_schema",2379,5,712649,44461925,53,65
"database_schema",2379,5,712649,45127810,1389,1925
"database_schema",2379,5,712649,45247500,756,1101
"database_schema",2379,5,785875,45110585,256,361
"database_schema",2379,5,19126596,44916108,144,999
"database_schema",2379,5,19126596,45171276,-5,-5
"database_schema",2379,5,19126598,45188193,431,3917
"database_schema",2379,5,19126598,45256858,-5,13
"database_schema",2379,5,19126600,45222595,-5,53
"database_schema",2379,5,19126600,45239737,803,9961
"database_schema",2379,5,19126602,45256857,6,24
"database_schema",2379,5,19126602,45308041,680,5699
"database_schema",2379,5,35603054,44872074,-5,18
"database_schema",2379,5,35603054,45178528,22,168
"database_schema",2379,5,35603058,45332406,33,355
"database_schema",2379,5,35603134,45281330,5,20
"database_schema",2379,5,40231371,45006113,193,335
"database_schema",2379,5,40231371,45074492,40,67
"database_schema",2379,5,40231371,45279244,16334,70853
"database_schema",2379,5,40231375,44852992,23,54
"database_schema",2379,5,40231375,45006115,127,286
"database_schema",2379,5,40231375,45193508,8316,54556
"database_schema",2379,5,42707650,44869994,14435,52239
"database_schema",2379,5,42800968,44852993,3368,25133
"database_schema",2379,5,43532950,44869996,9120,45088
"database_schema",2379,5,43532950,45006114,-5,-5
"database_schema",2379,5,43532950,45210790,172,412
"database_schema",2379,5,46275767,36480396,6,21
"database_schema",2379,5,46275767,44868870,22,47
"database_schema",2379,5,46275767,45380352,1372,8480
"database_schema",2379,5,46275771,45226825,6,27
"database_schema",2379,5,46275771,45380351,433,2414
